assetid,type,content_path,file_type,file_size,width,height,title,alt
1,photo,https://picsum.photos/seed/50jUSd/640/480,video/x-msvideo,100.000,,,,
2,photo,https://picsum.photos/seed/hXop8cWT9/640/480,application/x-abiword,100.000,,,,
3,photo,https://loremflickr.com/640/480?lock=3464071575764992,application/x-abiword,100.000,,,,
4,photo,https://picsum.photos/seed/duWDjK/640/480,application/x-bzip,100.000,,,,
5,photo,https://loremflickr.com/640/480?lock=2642969500844032,application/vnd.oasis.opendocument.presentation,100.000,,,,
6,photo,https://loremflickr.com/640/480?lock=7676268088655872,application/json,100.000,,,,
7,photo,https://loremflickr.com/640/480?lock=500556225314816,video/x-msvideo,100.000,,,,
8,photo,https://picsum.photos/seed/yrwFWh3TYM/640/480,video/x-msvideo,100.000,,,,
9,photo,https://loremflickr.com/640/480?lock=1379066257080320,application/vnd.ms-fontobject,100.000,,,,
10,photo,https://picsum.photos/seed/hI2h5mkw/640/480,application/vnd.oasis.opendocument.spreadsheet,100.000,,,,
